index,location,type,count,date
415,Ventura Elementary,Employees,1,2021-08-03
416,Westbrooke Elementary,Employees,1,2021-08-03
417,Wolf Lake Middle,Employees,1,2021-08-03
418,Bay Lake Elementary,Employees,1,2021-08-02
419,Catalina Elementary,Employees,2,2021-08-02
420,Cheney Elementary,Employees,1,2021-08-02
421,Citrus Elementary,Employees,1,2021-08-02
422,Colonial High,Employees,2,2021-08-02
423,Curriculum & Digital Learning,Employees,1,2021-08-02
424,Evans High,Employees,1,2021-08-02
425,Facilities Services,Employees,1,2021-08-02
426,Meadow Woods Middle,Employees,3,2021-08-02
427,Ocoee Middle,Employees,1,2021-08-02
428,Operations,Employees,1,2021-08-02
429,Palm Lake Elementary,Employees,1,2021-08-02
430,Pine Hills Elementary,Employees,1,2021-08-02
431,School Choice Services,Employees,1,2021-08-02
432,Teaching and Learning,Employees,3,2021-08-02
433,Water Spring Elementary,Employees,1,2021-08-02
434,West Orange High,Employees,1,2021-08-02
435,Lake Nona High,Employees,2,1900-01-01
436,Oakshire Elementary,Employees,1,1900-01-01
437,Olympia High,Employees,2,1900-01-01
438,Pine Hills Elementary,Employees,1,1900-01-01
439,Moss Park Elementary,Volunteers,1,2021-08-12
440,Operations,Volunteers,1,2021-08-12
441,Deerwood Elementary,Volunteers,1,2021-08-10
442,Camelot Elementary,Volunteers,1,2021-08-09
443,Apopka Elementary,Students,1,2021-08-15
444,Avalon Elementary,Students,1,2021-08-15
445,Ivey Lane Elementary,Students,1,2021-08-15
446,Keene’s Crossing Elementary,Students,1,2021-08-15
447,Orlo Vista Elementary,Students,1,2021-08-15
448,Princeton Elementary,Students,1,2021-08-15
449,Sunridge Elementary,Students,1,2021-08-15
450,West Orange High,Students,1,2021-08-15
451,Corner Lake Middle,Employees,1,2021-08-15
452,Cypress Creek High,Employees,2,2021-08-15
453,Edgewater High,Employees,1,2021-08-15
454,Facilities Services,Employees,1,2021-08-15
455,Forsyth Woods Elementary,Employees,1,2021-08-15
456,John Young Elementary,Employees,1,2021-08-15
457,Lake Nona High,Employees,3,2021-08-15
458,Lakemont Elementary,Employees,1,2021-08-15
459,Laureate Park Elementary,Employees,1,2021-08-15
460,Meadow Woods Middle,Employees,1,2021-08-15
461,Oakshire Elementary,Employees,1,2021-08-15
462,OCPS Academic Center for Excellence,Employees,1,2021-08-15
463,Olympia High,Employees,3,2021-08-15
464,Orlo Vista Elementary,Employees,1,2021-08-15
465,Pine Hills Elementary,Employees,1,2021-08-15
466,Princeton Elementary,Employees,1,2021-08-15
