location,addr,level,lat,long
RENAISSANCE CHARTER AT CHICKASAW TRAIL,"8203 VALENCIA COLLEGE LN ORLANDO, FL 32825-3242",Elementary,28.5550162,-81.27614369999999
RENAISSANCE CHARTER AT CROWN POINT,"281 WEST RD OCOEE, FL 34761-5300",Elementary,28.6040018,-81.5490436
RENAISSANCE CHARTER AT GOLDENROD,"6004 S GOLDENROD RD ORLANDO, FL 32822-8780",Elementary,28.473927,-81.2915391
RENAISSANCE CHARTER AT HUNTERS CREEK,"4140 TOWN CENTER BLVD ORLANDO, FL 32837-6111",Elementary,,
RIDGEWOOD PARK ELEMENTARY,"3401 PIONEER RD ORLANDO, FL 32808-3229",Elementary,28.5860191,-81.46300120000001
RIVERDALE ELEMENTARY,"11301 LOKANOTOSA TRL ORLANDO, FL 32817-3005",Elementary,28.585315,-81.21930549999999
RIVERSIDE ELEMENTARY,"3125 PEMBROOK DR ORLANDO, FL 32810-2267",Elementary,28.633812,-81.42058999999999
ROCK LAKE ELEMENTARY,"408 N TAMPA AVE ORLANDO, FL 32805-1220",Elementary,28.5478077,-81.4057897
ROCK SPRINGS ELEMENTARY,"2400 ROCK SPRINGS RD APOPKA, FL 32712-5700",Elementary,28.71994579999999,-81.51129449999999
ROLLING HILLS ELEMENTARY,"4903 DONOVAN ST ORLANDO, FL 32808-2617",Elementary,28.5908023,-81.4470396
ROSEMONT ELEMENTARY,"4650 POINT LOOK OUT RD ORLANDO, FL 32808-1736",Elementary,28.602917,-81.44063469999999
SADLER ELEMENTARY,"4000 W OAK RIDGE RD ORLANDO, FL 32809-3690",Elementary,28.4716917,-81.4263102
SALLY RIDE ELEMENTARY,"9601 11TH AVE ORLANDO, FL 32824-8706",Elementary,28.4250691,-81.35917529999999
SAND LAKE ELEMENTARY,"8301 BUENA VISTA WOODS BLVD ORLANDO, FL 32836-6031",Elementary,28.4118934,-81.4928558
SHENANDOAH ELEMENTARY,"4827 S CONWAY RD ORLANDO, FL 32812-1247",Elementary,28.4837949,-81.3297133
SHINGLE CREEK ELEMENTARY,"5620 HARCOURT AVE ORLANDO, FL 32839-3104",Elementary,28.4808996,-81.43537730000001
SILVER PINES ACADEMY K-12 LEARNING CNTR,"1906 MATTERHORN ROAD ORLANDO, FL 32818",Elementary,28.5664759,-81.4879169
SOUTHWOOD ELEMENTARY,"12600 BISTED DR ORLANDO, FL 32824-5852",Elementary,28.3856484,-81.3803678
SPRING LAKE ELEMENTARY,"1105 SARAH LEE LN OCOEE, FL 34761-3236",Elementary,28.5877387,-81.52492769999999
STONE LAKES ELEMENTARY,"15200 STONEYBROOK BVD ORLANDO, FL 32828-7528",Elementary,28.5111218,-81.1628631
SUMMERLAKE ELEMENTARY,"15450 PORTER RD WINTER GARDEN, FL 34787",Elementary,28.4524921,-81.6183119
SUN BLAZE ELEMENTARY,"9101 RANDAL PARK BLVD ORLANDO, FL 32832-4918",Elementary,28.4344017,-81.2344145
SUNRIDGE ELEMENTARY,"14455 SUNRIDGE BLVD WINTER GARDEN, FL 34787-5133",Elementary,28.5377519,-81.6021908
SUNRISE ELEMENTARY,"101 LONE PALM RD ORLANDO, FL 32828-8231",Elementary,28.5350286,-81.1756972
SUNSET PARK ELEMENTARY,"12050 OVERSTREET RD WINDERMERE, FL 34786-6666",Elementary,28.4597662,-81.5589571
